City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Doha,QA,2020-06-20 18:42:45,25.29,51.53,93.2,55,0,3.36
70,Merauke,ID,2020-06-20 18:47:27,-8.47,140.33,76.86,84,0,14.41
71,Hilo,US,2020-06-20 18:43:44,19.73,-155.09,78.8,61,1,6.93
72,Tiksi,RU,2020-06-20 18:47:27,71.69,128.87,63.7,44,0,5.3
73,Nome,US,2020-06-20 18:47:28,64.5,-165.41,66.2,39,1,18.34
74,Christchurch,NZ,2020-06-20 18:47:28,-43.53,172.63,44.01,93,12,1.12
75,Lima,PE,2020-06-20 18:45:12,-12.04,-77.03,64.4,77,90,6.93
76,Barrow,US,2020-06-20 18:47:28,71.29,-156.79,33.8,80,90,9.17
77,Cabo San Lucas,MX,2020-06-20 18:44:39,22.89,-109.91,88.0,45,5,8.05
78,Khani,GE,2020-06-20 18:47:29,41.96,42.96,68.0,77,75,3.36
79,Mataura,NZ,2020-06-20 18:43:42,-46.19,168.86,39.0,83,71,3.0
80,Cape Town,ZA,2020-06-20 18:44:08,-33.93,18.42,61.0,93,40,5.82
81,Tasiilaq,GL,2020-06-20 18:47:30,65.61,-37.64,46.4,70,75,23.04
82,Zambezi,ZM,2020-06-20 18:47:30,-13.54,23.1,57.11,45,0,2.44
83,Lebu,CL,2020-06-20 18:47:30,-37.62,-73.65,53.96,84,78,19.86
84,Mataram,ID,2020-06-20 18:47:30,-8.58,116.12,75.2,94,40,3.36
85,Lompoc,US,2020-06-20 18:47:30,34.64,-120.46,64.4,72,10,7.85
86,Honiara,SB,2020-06-20 18:47:31,-9.43,159.95,77.0,94,75,4.7
87,Albany,US,2020-06-20 18:44:31,42.6,-73.97,90.0,54,29,5.48
88,Ilulissat,GL,2020-06-20 18:43:41,69.22,-51.1,48.2,42,5,6.93
89,Jamestown,US,2020-06-20 18:45:16,42.1,-79.24,78.8,54,90,4.7
90,Butaritari,KI,2020-06-20 18:47:31,3.07,172.79,82.98,76,67,9.82
91,Eenhana,NA,2020-06-20 18:47:32,-17.47,16.33,57.18,37,0,5.44
92,Belmonte,BR,2020-06-20 18:47:32,-15.86,-38.88,78.8,57,0,9.17
93,Phalodi,IN,2020-06-20 18:47:32,27.13,72.37,96.01,37,0,22.7
94,Vila Velha,BR,2020-06-20 18:47:32,-20.33,-40.29,82.4,65,20,9.17
95,Chapais,CA,2020-06-20 18:47:32,49.78,-74.85,84.2,45,75,6.93
96,Grand Gaube,MU,2020-06-20 18:47:33,-20.01,57.66,73.0,72,97,8.99
97,Dicabisagan,PH,2020-06-20 18:47:33,17.08,122.42,79.77,80,34,6.98
98,Biak,ID,2020-06-20 18:44:36,-0.91,122.88,77.07,81,100,5.64
99,Kaitangata,NZ,2020-06-20 18:47:33,-46.28,169.85,43.0,86,81,1.99
100,Port Elizabeth,ZA,2020-06-20 18:43:44,-33.92,25.57,55.4,100,0,3.36
101,Lakes Entrance,AU,2020-06-20 18:47:34,-37.88,147.98,43.0,95,4,4.85
102,Sola,VU,2020-06-20 18:47:34,-13.88,167.55,79.5,82,100,19.33
103,Saint Anthony,US,2020-06-20 18:47:34,45.02,-93.22,73.0,49,20,3.36
104,Saskylakh,RU,2020-06-20 18:47:35,71.92,114.08,72.5,44,100,4.68
105,Savannah Bight,HN,2020-06-20 18:47:35,16.45,-85.85,83.3,76,100,20.49
106,Cap Malheureux,MU,2020-06-20 18:47:35,-19.98,57.61,73.0,72,97,8.99
107,Hithadhoo,MV,2020-06-20 18:43:38,-0.6,73.08,83.37,73,100,6.08
108,Port Blair,IN,2020-06-20 18:47:36,11.67,92.75,82.9,82,76,12.55
109,Hami,CN,2020-06-20 18:47:36,42.8,93.45,79.48,20,100,6.11
110,Dikson,RU,2020-06-20 18:43:39,73.51,80.55,35.73,85,3,18.99
111,Megion,RU,2020-06-20 18:47:36,61.03,76.11,50.0,87,75,15.66
112,Aripuana,BR,2020-06-20 18:47:37,-9.17,-60.63,91.89,36,1,3.62
